day,fr,es,it
1,"Tous naissent comme des originaux,","Todos nacen como originales,","Tutti nascono come originali,"
1,mais beaucoup meurent,pero muchos mueren,ma molti muoiono
1,comme des photocopies,como fotocopias,come fotocopie
2,"Trouve Dieu, et tu trouveras le sens de ta vie...","Encuentra a Dios,",Trova Dio e troverai
2,Tout passe...,y encontraras el significado de tu vida…,il senso della tua vita
3,Si les hommes savaient ce ,Si los hombres supieran ,Se gli uomini sapessero 
3,"qu'est l'Eternite, ils ","lo que es la eternidad, ",che cos’e l’Eternita 
3,feraient tout leur possible ,harían todo lo posible ,farebbero di tutto 
3,pour changer de vie...,para cambiar sus vidas...,per cambiare vita…
4,non io ma Dio*,non io ma Dio*,non io ma Dio
4,*pas moi mais Dieu,no yo sino Dios,
5,SONO DESTINATO,SONO DESTINATO,SONO DESTINATO
5,A MORIRE*,A MORIRE*,A MORIRE
5,*JE SUIS DESTINE A MOURIR,*ESTOY DESTINADO A MORIR,
6,SOLO CHI FA LA VOLONTA,SOLO CHI FA LA VOLONTA,SOLO CHI FA LA VOLONTA
6,DI DIO SARA VERAMENTE,DI DIO SARA VERAMENTE,DI DIO SARA VERAMENTE
6,LIBERO*,LIBERO*,LIBERO
6,*SEUL CELUI QUI FERA LA VOLONTE DE DIEU SERA,*SOLO EL QUE HACE LA VOLUNTAD,
6,VRAIMENT LIBRE,DE DIOS SERA VERAMENTE LIBRE,
7,SENZA DI LUI,SENZA DI LUI,SENZA DI LUI
7,NON POSSO FARE NULLA*,NON POSSO FARE NULLA*,NON POSSO FARE NULLA
7,*SANS LUI JE NE PEUX RIEN FAIRE,*SIN EL NON PUEDO HACER NADA,
8,L'EUCHARISTIE,LA EUCARISTIA,EUCARISTIA
8,EST MON,ES MI,E LA MIA
8,AUTOROUTE,AUTOPISTA,AUTOSTRADA
8,POUR,AL,PER
8,LE CIEL,CIELO,IL CIELO
9,SUREMENT DIEU NE LUI,SEGURAMENTE DIOS,SICURAMENTE DIO NON
9,REFUSERA JAMAIS RIEN,NUNCA LE NEGARA NADA,GLI RIFIUTERA NULLA
